proposer,total_bills,solo_bills,collaboration_bills,avg_collaboration_size
서미화,20,0,20,28.50
박충권,100,0,100,9.30
박은정,10,0,10,11.00
김석기,30,0,30,9.67
백종헌,10,0,10,9.00
정성호,90,0,90,11.11
황정아,60,0,60,20.00
김성원,100,0,100,9.40
이철규,40,0,40,10.25
윤준병,60,0,60,10.83
김정재,70,0,70,65.00
박정하,30,0,30,10.33
강유정,100,0,100,9.40
이정문,90,0,90,10.44
김영배,80,0,80,20.25
이종배,70,0,70,9.86
송옥주,150,0,150,11.07
조경태,30,0,30,10.00
이재명,10,10,0,0.00
박정,140,0,140,13.14
문금주,50,10,40,19.50
윤상현,40,0,40,10.25
이인선,20,0,20,12.50
김한규,110,0,110,14.18
소병훈,90,0,90,10.67
이성윤,30,0,30,13.67
이헌승의원ㆍ전재수,10,0,10,17.00
안철수,20,0,20,11.50
나경원,10,0,10,17.00
정청래,50,0,50,9.60
김승수,160,0,160,9.88
서영교,110,0,110,12.36
서천호,20,0,20,12.50
오기형,20,0,20,17.50
김주영,50,0,50,15.60
박해철,110,0,110,12.91
권영세,130,0,130,9.08
이해민,50,0,50,11.20
박성훈,40,0,40,9.75
김선민,60,0,60,11.83
임미애,30,0,30,19.00
이원택,50,0,50,9.60
임이자,150,0,150,15.87
맹성규의원ㆍ이양수,10,0,10,9.00
이훈기,30,0,30,73.00
이수진,150,0,150,16.87
김성회,10,0,10,11.00
박수영,10,0,10,16.00
김윤덕,60,0,60,10.67
강경숙,20,0,20,15.50
김성환,20,0,20,71.00
모경종,40,0,40,11.00
송언석,80,0,80,22.00
임종득,60,0,60,10.67
이헌승,50,0,50,11.40
권칠승,50,0,50,9.20
서범수,50,0,50,9.60
강민국,40,0,40,11.75
유동수,30,0,30,10.67
엄태영,70,0,70,9.43
허영,30,0,30,14.33
최민희,60,0,60,24.67
이만희,10,0,10,71.00
정준호,90,0,90,9.67
박희승,80,0,80,14.62
조승환,10,0,10,9.00
전진숙,10,0,10,32.00
김은혜,20,0,20,9.00
윤영석,30,0,30,9.67
강준현,30,0,30,15.00
김기현,20,0,20,11.50
백혜련,100,0,100,10.70
김예지,60,0,60,10.67
김희정,100,0,100,19.70
유용원,40,0,40,10.50
강승규,30,0,30,9.00
김현정,30,0,30,15.33
김태호,30,0,30,10.33
구자근,70,0,70,11.43
김현,10,0,10,19.00
정일영,50,0,50,12.20
남인순,60,0,60,10.17
김정호,70,0,70,10.57
신영대,110,0,110,12.64
차규근,20,0,20,11.00
강대식,90,0,90,10.22
정성국,20,0,20,9.50
조지연,50,0,50,10.20
박상혁,70,0,70,10.86
조정훈,20,0,20,9.50
정희용,70,0,70,12.57
유상범,60,0,60,10.00
허종식,30,0,30,10.67
송석준,30,0,30,10.67
김선교,150,0,150,9.33
김용민,40,10,30,12.67
이재정,40,0,40,10.50
위성곤,20,0,20,10.00
민병덕,50,0,50,12.00
고민정,50,0,50,50.20
한병도,260,0,260,9.88
배준영,20,0,20,14.50
이병진,170,0,170,9.47
송재봉,40,0,40,12.50
민형배,240,0,240,10.62
김태선,10,0,10,14.00
진성준,80,0,80,11.00
김준형,20,0,20,12.50
신성범,100,0,100,10.70
이개호,20,0,20,9.00
최수진,30,0,30,17.00
홍기원,100,0,100,12.30
전재수,10,0,10,9.00
박대출,110,0,110,45.73
김원이,40,0,40,15.00
추경호,20,0,20,107.00
