이름,정당,위원회,지역구,대표발의,공동발의,총법안,위원회다양성,질적점수,협력점수,연결성점수,종합점수,등급,클러스터참여
이해식,더불어민주당,행정안전위원회,서울 강동구을/서울 강동구을,0,80,80,1,3.0,193726.9,193726.9,164.2,S+,Yes
구자근,국민의힘,산업통상자원중소벤처기업위원회,경북 구미시갑/경북 구미시갑,0,70,70,5,3.1,157011.8,157011.8,159.0,S+,Yes
장경태,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 법제사법위원회",서울 동대문구을/서울 동대문구을,0,50,50,2,3.0,174963.0,174963.0,154.2,S+,Yes
김정호,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회, 산불피해지원대책 특별위원회",경남 김해시을/경남 김해시을/경남 김해시을,0,70,70,6,3.6,166671.0,166671.0,153.3,S+,Yes
박상혁,더불어민주당,"정무위원회, 국회운영위원회",경기 김포시을/경기 김포시을,0,70,70,4,3.3,170039.8,170039.8,152.2,S+,Yes
김문수,더불어민주당,교육위원회,전남 순천시광양시곡성군구례군갑,0,60,60,2,3.0,171913.2,171913.2,150.2,S+,Yes
이종배,국민의힘,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",충북 충주시/충북 충주시/충북 충주시/충북 충주시,0,70,70,6,3.1,140981.4,140981.4,147.0,S+,Yes
이용선,더불어민주당,외교통일위원회,서울 양천구을/서울 양천구을,0,60,60,3,3.0,165984.4,165984.4,146.9,S+,Yes
이헌승,국민의힘,"정무위원회, 기후위기 특별위원회",부산 부산진구을/부산 부산진구을/부산 부산진구을/부산 부산진구을,0,60,60,4,3.2,110886.0,110886.0,145.0,S+,Yes
조정식,더불어민주당,외교통일위원회,경기 시흥시을/경기 시흥시을/경기 시흥시을/경기 시흥시을/경기 시흥시을/경기 시흥시을,0,50,50,5,2.8,155756.0,155756.0,143.2,S+,Yes
김주영,더불어민주당,환경노동위원회,경기 김포시갑/경기 김포시갑,0,50,50,1,3.0,160086.4,160086.4,139.9,S+,Yes
엄태영,국민의힘,국토교통위원회,충북 제천시단양군/충북 제천시단양군,0,70,70,4,2.9,138091.1,138091.1,139.7,S+,Yes
김선민,조국혁신당,보건복지위원회,비례대표,0,60,60,1,3.0,118909.5,118909.5,135.9,S+,Yes
김예지,국민의미래,보건복지위원회,비례대표/비례대표,0,60,60,4,3.3,112907.0,112907.0,132.5,S+,Yes
김윤덕,더불어민주당,문화체육관광위원회,전북 전주시완산구갑/전북 전주시갑/전북 전주시갑,0,60,60,3,3.0,144893.5,144893.5,130.7,S+,Yes
유상범,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 기획재정위원회, 국회운영위원회",강원 홍천군횡성군영월군평창군/강원 홍천군횡성군영월군평창군,0,60,60,5,3.0,121698.0,121698.0,129.2,S+,Yes
임종득,국민의힘,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 산불피해지원대책 특별위원회, 예산결산특별위원회",경북 영주시영양군봉화군,0,60,60,2,2.5,127110.0,127110.0,128.9,S+,Yes
윤준병,더불어민주당,농림축산식품해양수산위원회,전북 정읍시고창군/전북 정읍시고창군,0,60,60,1,3.0,146415.3,146415.3,128.4,S+,Yes
남인순,더불어민주당,"보건복지위원회, 연금개혁 특별위원회",비례대표/서울 송파구병/서울 송파구병/서울 송파구병,0,60,60,3,3.0,138997.0,138997.0,127.0,S+,Yes
한민수,더불어민주당,과학기술정보방송통신위원회,서울 강북구을,0,40,40,2,3.2,137318.4,137318.4,124.5,S+,Yes
김현,더불어민주당,과학기술정보방송통신위원회,비례대표/경기 안산시을,0,40,40,3,3.0,37544.0,37544.0,122.5,S+,Yes
이소영,더불어민주당,"기후위기 특별위원회, 예산결산특별위원회, 기획재정위원회",경기 의왕시과천시/경기 의왕시과천시,0,40,40,4,2.2,122797.0,122797.0,121.6,S+,Yes
민병덕,더불어민주당,"정무위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",경기 안양시동안구갑/경기 안양시동안구갑,0,50,50,3,2.8,130415.0,130415.0,120.9,S+,Yes
김영진,더불어민주당,"기획재정위원회, 정보위원회",경기 수원시병/경기 수원시병/경기 수원시병,0,60,60,2,3.7,131042.0,131042.0,119.0,S+,Yes
김원이,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",전남 목포시/전남 목포시,0,40,40,3,3.0,123644.8,123644.8,116.2,S+,Yes
이용우,더불어민주당,환경노동위원회,인천 서구을,0,10,10,1,3.0,0.0,0.0,116.0,S+,Yes
김윤,더불어민주연합,"보건복지위원회, 예산결산특별위원회",비례대표,0,60,60,3,3.0,0.0,0.0,115.7,S+,Yes
김영호,더불어민주당,교육위원회,서울 서대문구을/서울 서대문구을/서울 서대문구을,0,40,40,4,2.5,80344.0,80344.0,115.4,S+,Yes
이해민,조국혁신당,과학기술정보방송통신위원회,비례대표,0,50,50,2,2.6,90133.5,90133.5,114.1,S+,Yes
박지혜,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회",경기 의정부시갑,0,20,20,2,4.0,120817.1,120817.1,113.8,S+,Yes
임오경,더불어민주당,문화체육관광위원회,경기 광명시갑/경기 광명시갑,0,50,50,3,3.4,121816.0,121816.0,113.5,S+,Yes
이만희,국민의힘,"2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 농림축산식품해양수산위원회",경북 영천시청도군/경북 영천시청도군/경북 영천시청도군,0,10,10,1,3.0,102816.0,102816.0,112.2,S+,Yes
조지연,국민의힘,"환경노동위원회, 기후위기 특별위원회, 예산결산특별위원회, 국회운영위원회",경북 경산시,0,50,50,3,4.0,102768.0,102768.0,109.8,S+,Yes
박덕흠,국민의힘,행정안전위원회,충북 보은군옥천군영동군/충북 보은군옥천군영동군괴산군/충북 보은군옥천군영동군괴산군/충북 보은군옥천군영동군괴산군,0,50,50,4,3.0,100564.2,100564.2,109.0,S+,Yes
주철현,더불어민주당,농림축산식품해양수산위원회,전남 여수시갑/전남 여수시갑,0,40,40,3,3.5,114739.3,114739.3,108.8,S+,Yes
박주민,더불어민주당,"보건복지위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",서울 은평구갑/서울 은평구갑/서울 은평구갑,0,50,50,3,3.0,114505.0,114505.0,108.5,S+,Yes
오세희,더불어민주연합,"산업통상자원중소벤처기업위원회, 국회운영위원회",비례대표,0,20,20,1,2.5,84852.0,84852.0,108.1,S+,Yes
서범수,국민의힘,"여성가족위원회, 기후위기 특별위원회, 행정안전위원회, 예산결산특별위원회",울산 울주군/울산 울주군,0,50,50,4,3.0,98709.0,98709.0,107.7,S+,Yes
임미애,더불어민주연합,"농림축산식품해양수산위원회, 여성가족위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 예산결산특별위원회",비례대표,0,30,30,2,3.0,83520.0,83520.0,106.0,S+,Yes
배현진,국민의힘,문화체육관광위원회,서울 송파구을/서울 송파구을,0,40,40,4,3.2,93992.7,93992.7,104.2,S+,Yes
이원택,더불어민주당,"농림축산식품해양수산위원회, 산불피해지원대책 특별위원회",전북 김제시부안군/전북 군산시김제시부안군을,0,50,50,2,3.0,111323.0,111323.0,104.2,S+,Yes
강민국,국민의힘,정무위원회,경남 진주시을/경남 진주시을,0,40,40,4,2.8,91429.2,91429.2,101.7,S+,Yes
서미화,더불어민주연합,"국회운영위원회, 보건복지위원회",비례대표,0,20,20,2,5.0,76998.0,76998.0,101.5,S+,Yes
최수진,국민의미래,"과학기술정보방송통신위원회, 국회운영위원회",비례대표,0,30,30,3,3.7,77730.3,77730.3,100.3,S+,Yes
권칠승,더불어민주당,행정안전위원회,경기 화성시병/경기 화성시병/경기 화성시병,0,50,50,1,3.0,108668.8,108668.8,100.0,S+,Yes
윤후덕,더불어민주당,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",경기 파주시갑/경기 파주시갑/경기 파주시갑/경기 파주시갑,0,10,10,1,3.0,104042.0,104042.0,99.7,S+,Yes
복기왕,더불어민주당,국토교통위원회,충청남도 아산시/충남 아산시갑,0,20,20,1,4.0,104348.2,104348.2,98.3,S+,Yes
이재강,더불어민주당,외교통일위원회,경기 의정부시을,0,30,30,1,3.0,104719.8,104719.8,98.0,S+,Yes
이성권,국민의힘,"정보위원회, 행정안전위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 예산결산특별위원회",부산광역시 부산진구을/부산 사하구갑,0,30,30,2,2.7,85203.0,85203.0,94.7,S+,Yes
모경종,더불어민주당,"행정안전위원회, 연금개혁 특별위원회",인천 서구병,0,40,40,2,3.0,97968.0,97968.0,94.5,S+,Yes
이재정,더불어민주당,외교통일위원회,비례대표/경기 안양시동안구을/경기 안양시동안구을,0,40,40,3,3.8,95634.7,95634.7,93.8,S+,Yes
유용원,국민의미래,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국방위원회",비례대표,0,40,40,3,3.0,73911.2,73911.2,93.7,S+,Yes
김용민,더불어민주당,법제사법위원회,경기 남양주시병/경기 남양주시병,10,30,40,2,3.0,81898.4,81898.4,92.7,S+,Yes
이철규,국민의힘,산업통상자원중소벤처기업위원회,강원 동해시삼척시/강원 동해시태백시삼척시정선군/강원 동해시태백시삼척시정선군,0,40,40,3,3.0,83261.2,83261.2,92.5,S+,Yes
김현정,더불어민주당,정무위원회,경기 평택시병,0,30,30,2,3.0,94952.8,94952.8,92.2,S+,Yes
김종양,국민의힘,"국토교통위원회, 예산결산특별위원회",경남 창원시의창구,0,40,40,3,3.0,81231.0,81231.0,91.2,S+,Yes
강준현,더불어민주당,정무위원회,세종특별자치시을/세종특별자치시을,0,30,30,2,2.7,93345.6,93345.6,90.9,S+,Yes
윤상현,국민의힘,환경노동위원회,인천 남구을/인천 남구을/인천 남구을/인천 동구미추홀구을/인천 동구미추홀구을,0,40,40,2,2.8,82809.0,82809.0,90.7,S+,Yes
문대림,더불어민주당,농림축산식품해양수산위원회,제주 제주시갑,0,30,30,1,3.0,94886.7,94886.7,90.5,S+,Yes
허영,더불어민주당,"정무위원회, 국회운영위원회",강원 춘천시철원군화천군양구군갑/강원 춘천시철원군화천군양구군갑,0,30,30,3,3.7,89489.5,89489.5,90.3,S+,Yes
김준형,조국혁신당,외교통일위원회,비례대표,0,30,30,1,1.7,35766.9,35766.9,90.2,S+,Yes
최형두,국민의힘,과학기술정보방송통신위원회,경남 창원시마산합포구/경남 창원시마산합포구,0,30,30,3,3.0,77719.5,77719.5,89.0,S,Yes
박범계,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 정무위원회",대전 서구을/대전 서구을/대전 서구을/대전 서구을,0,10,10,1,3.0,89723.0,89723.0,88.5,S,Yes
서영석,더불어민주당,보건복지위원회,경기 부천시정/경기 부천시갑,0,20,20,1,4.0,91107.5,91107.5,88.3,S,Yes
박성훈,국민의힘,"국회운영위원회, 기획재정위원회",부산 북구을,0,40,40,2,3.0,79779.0,79779.0,88.2,S,Yes
안도걸,더불어민주당,"기획재정위원회, 산불피해지원대책 특별위원회, 예산결산특별위원회",광주 동구남구을,0,30,30,1,3.0,89386.0,89386.0,86.7,S,Yes
김위상,국민의미래,"환경노동위원회, 예산결산특별위원회",비례대표,0,40,40,1,3.5,69312.0,69312.0,85.3,S,Yes
이건태,더불어민주당,국토교통위원회,경기 부천시병,0,10,10,1,3.0,86045.0,86045.0,84.7,S,Yes
이성윤,더불어민주당,법제사법위원회,전북 전주시을,0,30,30,1,3.0,86705.6,86705.6,84.2,S,Yes
어기구,더불어민주당,농림축산식품해양수산위원회,충남 당진시/충남 당진시/충남 당진시,0,40,40,1,3.0,87439.8,87439.8,84.0,S,Yes
서지영,국민의힘,교육위원회,부산 동래구,0,30,30,3,3.0,69294.6,69294.6,81.5,S,Yes
염태영,더불어민주당,"국토교통위원회, 기후위기 특별위원회",경기 수원시무,0,10,10,1,3.0,80177.0,80177.0,81.0,S,Yes
김장겸,국민의미래,과학기술정보방송통신위원회,비례대표,0,30,30,2,2.7,62120.0,62120.0,80.9,S,Yes
김도읍,국민의힘,국토교통위원회,부산 북구강서구을/부산 북구강서구을/부산 북구강서구을/부산 강서구,0,30,30,2,3.0,69780.2,69780.2,79.7,A+,Yes
이재관,더불어민주당,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",충남 천안시을,0,20,20,1,3.0,79412.9,79412.9,79.5,A+,Yes
조인철,더불어민주당,"과학기술정보방송통신위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 국회운영위원회",광주 서구갑,0,20,20,2,3.0,76031.0,76031.0,78.7,A+,Yes
임광현,더불어민주연합,,비례대표,0,20,20,2,4.0,54558.0,54558.0,76.3,A+,Yes
박정하,국민의힘,문화체육관광위원회,강원 원주시갑/강원 원주시갑,0,30,30,3,3.7,62640.6,62640.6,75.3,A+,Yes
김태호,국민의힘,외교통일위원회,경남 김해시을/경남 김해시을/경남 산청군함양군거창군합천군/경남 양산시을,0,30,30,3,3.0,62722.2,62722.2,75.2,A+,Yes
유동수,더불어민주당,정무위원회,인천 계양구갑/인천 계양구갑/인천 계양구갑,0,30,30,2,3.0,72452.0,72452.0,74.7,A+,Yes
박홍근,더불어민주당,기획재정위원회,서울 중랑구을/서울 중랑구을/서울 중랑구을/서울 중랑구을,0,10,10,1,3.0,71147.6,71147.6,73.5,A+,Yes
한준호,더불어민주당,국토교통위원회,경기 고양시을/경기 고양시을,30,10,40,2,4.0,27980.6,27980.6,73.1,A+,Yes
허종식,더불어민주당,산업통상자원중소벤처기업위원회,인천 동구미추홀구갑/인천 동구미추홀구갑,0,30,30,1,3.0,72452.0,72452.0,73.0,A+,Yes
문진석,더불어민주당,"국토교통위원회, 국회운영위원회",충남 천안시갑/충남 천안시갑,0,30,30,3,3.0,67150.4,67150.4,72.7,A+,Yes
윤영석,국민의힘,"연금개혁 특별위원회, 기획재정위원회",경남 양산시/경남 양산시갑/경남 양산시갑/경남 양산시갑,0,30,30,3,3.0,59496.0,59496.0,72.7,A+,Yes
오기형,더불어민주당,"기획재정위원회, 연금개혁 특별위원회",서울 도봉구을/서울 도봉구을,0,20,20,1,3.0,69667.0,69667.0,72.0,A+,Yes
김석기,국민의힘,외교통일위원회,경북 경주시/경북 경주시/경북 경주시,0,30,30,2,3.0,59985.6,59985.6,71.0,A+,Yes
강승규,국민의힘,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",서울 마포구갑/충남 홍성군예산군,0,30,30,3,3.7,56929.5,56929.5,70.3,A+,Yes
박정현,더불어민주당,"행정안전위원회, 기후위기 특별위원회, 산불피해지원대책 특별위원회",대전 대덕구,0,10,10,1,3.0,65858.0,65858.0,69.7,A,Yes
강경숙,조국혁신당,교육위원회,비례대표,0,20,20,2,2.0,42356.7,42356.7,68.5,A,Yes
강선우,더불어민주당,"연금개혁 특별위원회, 외교통일위원회",서울 강서구갑/서울 강서구갑,0,20,20,1,3.5,64894.0,64894.0,68.3,A,Yes
배준영,국민의힘,"국토교통위원회, 예산결산특별위원회",인천 중구강화군옹진군/인천 중구강화군옹진군,0,20,20,1,2.5,47412.8,47412.8,64.4,A,Yes
권영진,국민의힘,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",서울 노원구을/대구 달서구병,0,20,20,2,3.0,50071.8,50071.8,63.7,A,Yes
이상휘,국민의힘,과학기술정보방송통신위원회,경북 포항시남구울릉군,0,20,20,2,3.0,50445.9,50445.9,63.7,A,Yes
전진숙,더불어민주당,"보건복지위원회, 여성가족위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",광주 북구을,0,10,10,1,3.0,57903.0,57903.0,63.5,A,Yes
박성준,더불어민주당,교육위원회,서울 중구성동구을/서울 중구성동구을,0,20,20,2,3.0,55700.8,55700.8,62.5,A,Yes
전재수,더불어민주당,산업통상자원중소벤처기업위원회,부산 북구강서구갑/부산 북구강서구갑/부산 북구갑,0,20,20,2,3.0,21472.0,21472.0,62.5,A,Yes
서천호,국민의힘,"농림축산식품해양수산위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 산불피해지원대책 특별위원회",경남 사천시남해군하동군,0,20,20,2,3.0,47331.0,47331.0,61.2,A,Yes
이인선,국민의힘,"기획재정위원회, 여성가족위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",대구 수성구을/대구 수성구을,0,20,20,1,3.0,47331.0,47331.0,59.5,B+,Yes
김기현,국민의힘,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",울산 남구을/울산 남구을/울산 남구을/울산 남구을/울산 남구을,0,20,20,2,3.0,44655.0,44655.0,58.7,B+,Yes
안철수,국민의힘,외교통일위원회,서울 노원구병/서울 노원구병/경기 성남시분당구갑/경기 성남시분당구갑,0,20,20,2,3.0,45007.5,45007.5,58.7,B+,Yes
이광희,더불어민주당,행정안전위원회,충북 청주시서원구,0,20,20,1,3.0,52435.1,52435.1,58.2,B+,Yes
강훈식,더불어민주당,,충남 아산시을/충남 아산시을/충남 아산시을,0,20,20,2,3.0,48984.0,48984.0,57.5,B+,Yes
양부남,더불어민주당,행정안전위원회,광주 서구을,0,10,10,1,3.0,50237.8,50237.8,57.2,B+,Yes
문정복,더불어민주당,교육위원회,경기 시흥시갑/경기 시흥시갑,0,20,20,2,3.0,47682.8,47682.8,56.2,B+,Yes
차규근,조국혁신당,"기획재정위원회, 산불피해지원대책 특별위원회",비례대표,0,20,20,1,3.0,37476.0,37476.0,55.7,B+,Yes
위성곤,더불어민주당,"행정안전위원회, 기후위기 특별위원회",제주 서귀포시/제주 서귀포시/제주 서귀포시,0,20,20,2,3.0,45802.0,45802.0,55.0,B+,Yes
한창민,더불어민주연합,정무위원회,비례대표,0,20,20,1,4.0,36882.0,36882.0,54.6,B+,Yes
김은혜,국민의힘,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",경기 성남시분당구갑/경기 성남시분당구을,0,20,20,2,5.0,37860.0,37860.0,52.8,B+,Yes
윤호중,더불어민주당,보건복지위원회,경기도 구리시/경기 구리시/경기 구리시/경기 구리시/경기 구리시,0,20,20,2,2.5,42923.0,42923.0,52.4,B+,Yes
조정훈,국민의힘,"교육위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",비례대표/서울 마포구갑,0,20,20,1,3.0,39213.0,39213.0,52.0,B+,Yes
이개호,더불어민주당,보건복지위원회,전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군/전남 담양군함평군영광군장성군,0,20,20,1,3.0,42923.0,42923.0,50.7,B+,Yes
박선원,더불어민주당,"국방위원회, 정보위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",인천 부평구을,0,10,10,1,3.0,37220.0,37220.0,47.2,B,Yes
