이름,정당,위원회,지역구,대표발의,공동발의,총법안,위원회다양성,질적점수,협력점수,연결성점수,종합점수,등급,클러스터참여
김남근,더불어민주당,"정무위원회, 예산결산특별위원회, 국회운영위원회",서울 성북구을,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김대식,국민의힘,"교육위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 예산결산특별위원회",부산 사상구,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김민전,국민의미래,교육위원회,비례대표,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김병기,더불어민주당,"정보위원회, 국회운영위원회, 국방위원회",서울 동작구갑/서울 동작구갑/서울 동작구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김병주,더불어민주당,"국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",비례대표/경기 남양주시을,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김상욱,국민의힘,"예산결산특별위원회, 외교통일위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",울산 남구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김승원,더불어민주당,"정무위원회, 예산결산특별위원회",경기 수원시갑/경기 수원시갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김영환,더불어민주당,기획재정위원회,경기 고양시정,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김용태,국민의힘,"교육위원회, 기후위기 특별위원회, 연금개혁 특별위원회",경기 포천시가평군,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김우영,더불어민주당,과학기술정보방송통신위원회,서울 은평구을,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
김재섭,국민의힘,"정무위원회, 연금개혁 특별위원회",서울 도봉구갑,0,0,0,0,0.0,0.0,0.0,1.5,D,Yes
