proposer1,proposer2,collaboration_score
박은정,김영호,12.00
박은정,김영환,12.00
박은정,김예지,12.00
박은정,김용만,12.00
박은정,김용민,12.00
박은정,김용태,12.00
박은정,김우영,12.00
박은정,김원이,12.00
박은정,김위상,12.00
박은정,김윤,12.00
박은정,김윤덕,12.00
박은정,김은혜,12.00
박은정,김장겸,12.00
박은정,김재섭,12.00
박은정,김재원,12.00
박은정,김정재,12.00
박은정,김정호,12.00
박은정,김종민,12.00
박은정,김종양,12.00
박은정,김주영,12.00
박은정,김준혁,12.00
박은정,김준형,12.00
박은정,김태년,12.00
박은정,김태선,12.00
박은정,김태호,12.00
박은정,김한규,12.00
박은정,김현,12.00
박은정,김현정,12.00
박은정,김형동,12.00
박은정,김희정,12.00
박은정,나경원,12.00
박은정,남인순,12.00
박은정,노종면,12.00
박은정,맹성규,12.00
박은정,모경종,12.00
박은정,문금주,12.00
박은정,문대림,12.00
박은정,문정복,12.00
박은정,문진석,12.00
김석기,강경숙,47.00
김석기,강대식,92.00
김석기,강득구,47.00
김석기,강명구,92.00
김석기,강민국,92.00
김석기,강선영,47.00
김석기,강선우,47.00
김석기,강승규,92.00
김석기,강유정,47.00
김석기,강준현,47.00
김석기,강훈식,47.00
김석기,고동진,92.00
김석기,고민정,47.00
김석기,곽규택,92.00
김석기,곽상언,47.00
김석기,구자근,100.00
김석기,권성동,92.00
김석기,권영세,92.00
김석기,권영진,92.00
김석기,권칠승,47.00
김석기,권향엽,47.00
김석기,김건,47.00
김석기,김교흥,47.00
김석기,김기웅,92.00
김석기,김기표,63.00
김석기,김기현,92.00
김석기,김남근,47.00
김석기,김남희,47.00
김석기,김대식,92.00
김석기,김도읍,92.00
김석기,김동아,55.00
김석기,김문수,47.00
김석기,김미애,92.00
김석기,김민석,47.00
김석기,김민전,47.00
김석기,김병기,47.00
김석기,김병주,47.00
김석기,김상욱,92.00
김석기,김상훈,92.00
김석기,김선교,92.00
김석기,김선민,47.00
김석기,김성원,100.00
김석기,김성환,55.00
김석기,김성회,47.00
김석기,김소희,47.00
김석기,김승수,92.00
김석기,김승원,47.00
김석기,김영배,47.00
김석기,김영진,47.00
김석기,김영호,47.00
김석기,김영환,47.00
김석기,김예지,47.00
김석기,김용만,47.00
김석기,김용민,63.00
김석기,김용태,92.00
김석기,김우영,47.00
김석기,김원이,47.00
김석기,김위상,47.00
김석기,김윤,47.00
김석기,김윤덕,47.00
김석기,김은혜,92.00
김석기,김장겸,47.00
김석기,김재섭,92.00
김석기,김재원,47.00
김석기,김정재,92.00
김석기,김정호,47.00
김석기,김종민,47.00
김석기,김종양,92.00
김석기,김주영,47.00
김석기,김준혁,47.00
김석기,김준형,47.00
김석기,김태년,47.00
김석기,김태선,47.00
김석기,김태호,92.00
김석기,김한규,47.00
김석기,김현,47.00
김석기,김현정,47.00
김석기,김형동,92.00
김석기,김희정,92.00
김석기,나경원,108.00
김석기,남인순,47.00
김석기,노종면,47.00
김석기,맹성규,47.00
김석기,모경종,47.00
김석기,문금주,47.00
김석기,문대림,47.00
김석기,문정복,47.00
김석기,문진석,47.00
백종헌,강경숙,10.00
백종헌,강대식,10.00
백종헌,강득구,10.00
백종헌,강명구,10.00
백종헌,강민국,10.00
백종헌,강선영,10.00
백종헌,강선우,10.00
백종헌,강승규,10.00
백종헌,강유정,10.00
백종헌,강준현,10.00
백종헌,강훈식,10.00
백종헌,고동진,10.00
백종헌,고민정,10.00
백종헌,곽규택,10.00
백종헌,곽상언,10.00
백종헌,구자근,10.00
백종헌,권성동,10.00
백종헌,권영세,10.00
백종헌,권영진,10.00
백종헌,권칠승,10.00
백종헌,권향엽,10.00
백종헌,김건,10.00
백종헌,김교흥,10.00
백종헌,김기웅,10.00
백종헌,김기표,10.00
백종헌,김기현,10.00
백종헌,김남근,10.00
백종헌,김남희,10.00
백종헌,김대식,10.00
백종헌,김도읍,10.00
