proposer,total_bills,solo_bills,collaboration_bills,avg_collaboration_size
서미화,20,0,20,29.50
박충권,100,0,100,10.30
박은정,10,0,10,12.00
김석기,30,0,30,10.67
백종헌,10,0,10,10.00
정성호,90,0,90,12.11
황정아,60,0,60,21.00
김성원,100,0,100,10.40
이철규,40,0,40,11.25
윤준병,60,0,60,11.83
김정재,70,0,70,66.00
박정하,30,0,30,11.33
강유정,100,0,100,10.40
이정문,90,0,90,11.44
김영배,80,0,80,21.25
이종배,70,0,70,10.86
송옥주,150,0,150,12.07
조경태,30,0,30,11.00
이재명,10,10,0,0.00
박정,140,0,140,14.14
문금주,50,10,40,20.50
윤상현,40,0,40,11.25
이인선,20,0,20,13.50
김한규,110,0,110,15.18
소병훈,90,0,90,11.67
이성윤,30,0,30,14.67
이헌승의원ㆍ전재수,10,0,10,18.00
안철수,20,0,20,12.50
나경원,10,0,10,18.00
정청래,50,0,50,10.60
김승수,160,0,160,10.88
서영교,110,0,110,13.36
서천호,20,0,20,13.50
오기형,20,0,20,18.50
김주영,50,0,50,16.60
박해철,110,0,110,13.91
권영세,130,0,130,10.08
이해민,50,0,50,12.20
박성훈,40,0,40,10.75
김선민,60,0,60,12.83
임미애,30,0,30,20.00
이원택,50,0,50,10.60
임이자,150,0,150,16.87
맹성규의원ㆍ이양수,10,0,10,10.00
이훈기,30,0,30,74.00
이수진,150,0,150,17.87
김성회,10,0,10,12.00
박수영,10,0,10,17.00
김윤덕,60,0,60,11.67
강경숙,20,0,20,16.50
김성환,20,0,20,72.00
모경종,40,0,40,12.00
송언석,80,0,80,23.00
임종득,60,0,60,11.67
이헌승,50,0,50,12.40
권칠승,50,0,50,10.20
서범수,50,0,50,10.60
강민국,40,0,40,12.75
유동수,30,0,30,11.67
엄태영,70,0,70,10.43
허영,30,0,30,15.33
최민희,60,0,60,25.67
이만희,10,0,10,72.00
정준호,90,0,90,10.67
박희승,80,0,80,15.62
조승환,10,0,10,10.00
전진숙,10,0,10,33.00
